FLIGHT NUMBER,DEP,ARR,DATE,TIME,WEEKDAY,PAX TRUE,PAX FALSE,PAX TOTAL
HT3704,TLS,LHR,2025-01-04,23:30,5,180,29,209
HT0928,TFN,LPA,2025-01-05,05:20,6,50,1,51
HT0922,LPA,TFN,2025-01-05,06:00,6,63,3,66
HT0928,TFN,LPA,2025-01-05,12:00,6,31,22,53
HT3677,TFN,BCN,2025-01-05,12:30,6,127,7,134
HT0922,LPA,TFN,2025-01-05,12:40,6,36,26,62
HT4540,DUS,RHO,2025-01-05,12:55,6,141,11,152
HT8069,MDA,CDG,2025-01-05,14:00,6,224,40,264
HT4125,CDG,MAD,2025-01-05,16:05,6,195,22,217
HT8069,MDA,CDG,2025-01-05,18:10,6,186,101,287
HT0928,TFN,LPA,2025-01-05,19:55,6,25,31,56
HT4125,CDG,MAD,2025-01-05,20:15,6,203,86,289
HT0922,LPA,TFN,2025-01-05,20:35,6,28,31,59
HT1255,RHO,DUS,2025-01-05,20:40,6,121,30,151
HT1385,BCN,TFN,2025-01-05,23:15,6,103,15,118
HT0928,TFN,LPA,2025-01-06,05:20,0,69,2,71
HT0922,LPA,TFN,2025-01-06,06:00,0,53,5,58
HT7636,OPO,FNC,2025-01-06,06:00,0,113,22,135
HT1650,FCO,CAG,2025-01-06,06:15,0,128,1,129
HT1234,LHR,DUB,2025-01-06,07:10,0,114,39,153
HT7614,CAG,FCO,2025-01-06,07:30,0,76,55,131
HT2087,MLA,FCO,2025-01-06,08:20,0,101,15,116
HT8601,DUB,LHR,2025-01-06,09:30,0,142,20,162
HT6578,PRG,MXP,2025-01-06,10:35,0,210,13,223
HT1517,FCO,MLA,2025-01-06,11:00,0,83,12,95
HT0928,TFN,LPA,2025-01-06,12:00,0,37,22,59
HT3245,MXP,PRG,2025-01-06,12:00,0,260,11,271
HT1234,LHR,DUB,2025-01-06,12:10,0,69,70,139
HT1650,FCO,CAG,2025-01-06,12:30,0,61,73,134
HT0922,LPA,TFN,2025-01-06,12:40,0,29,30,59
HT7614,CAG,FCO,2025-01-06,13:45,0,49,58,107
HT8601,DUB,LHR,2025-01-06,14:30,0,85,65,150
HT2087,MLA,FCO,2025-01-06,15:35,0,82,38,120
HT1650,FCO,CAG,2025-01-06,16:45,0,119,9,128
HT1234,LHR,DUB,2025-01-06,17:10,0,90,59,149
HT6578,PRG,MXP,2025-01-06,17:45,0,129,91,220
HT1517,FCO,MLA,2025-01-06,17:55,0,135,0,135
HT7614,CAG,FCO,2025-01-06,18:00,0,55,13,68
HT4447,FNC,OPO,2025-01-06,19:00,0,99,6,105
HT8601,DUB,LHR,2025-01-06,19:30,0,116,6,122
HT0928,TFN,LPA,2025-01-06,19:55,0,30,34,64
HT3245,MXP,PRG,2025-01-06,19:55,0,198,58,256
HT0922,LPA,TFN,2025-01-06,20:35,0,29,23,52
HT0928,TFN,LPA,2025-01-07,05:20,1,28,35,63
HT0922,LPA,TFN,2025-01-07,06:00,1,50,5,55
HT1234,LHR,DUB,2025-01-07,07:10,1,114,42,156
HT8601,DUB,LHR,2025-01-07,09:30,1,119,56,175
HT6578,PRG,MXP,2025-01-07,10:35,1,120,1,121
HT0928,TFN,LPA,2025-01-07,12:00,1,31,32,63
HT3245,MXP,PRG,2025-01-07,12:00,1,130,27,157
HT1234,LHR,DUB,2025-01-07,12:10,1,83,86,169
HT0922,LPA,TFN,2025-01-07,12:40,1,26,30,56
HT8069,MDA,CDG,2025-01-07,14:00,1,213,19,232
HT8601,DUB,LHR,2025-01-07,14:30,1,73,106,179
HT4125,CDG,MAD,2025-01-07,16:05,1,280,16,296
HT1234,LHR,DUB,2025-01-07,17:10,1,161,13,174
HT6578,PRG,MXP,2025-01-07,17:45,1,206,12,218
HT8069,MDA,CDG,2025-01-07,18:10,1,163,52,215
HT8601,DUB,LHR,2025-01-07,19:30,1,140,37,177
HT0928,TFN,LPA,2025-01-07,19:55,1,32,28,60
HT3245,MXP,PRG,2025-01-07,19:55,1,275,5,280
HT4125,CDG,MAD,2025-01-07,20:15,1,128,50,178
HT0922,LPA,TFN,2025-01-07,20:35,1,35,32,67
HT0928,TFN,LPA,2025-01-08,05:20,2,37,20,57
HT0922,LPA,TFN,2025-01-08,06:00,2,47,22,69
HT1650,FCO,CAG,2025-01-08,06:15,2,108,21,129
HT7614,CAG,FCO,2025-01-08,07:30,2,122,5,127
HT7132,MXP,SSH,2025-01-08,07:30,2,360,90,450
HT0928,TFN,LPA,2025-01-08,12:00,2,36,27,63
HT1650,FCO,CAG,2025-01-08,12:30,2,49,77,126
HT0922,LPA,TFN,2025-01-08,12:40,2,31,37,68
HT7614,CAG,FCO,2025-01-08,13:45,2,64,46,110
HT1650,FCO,CAG,2025-01-08,16:45,2,126,4,130
HT7614,CAG,FCO,2025-01-08,18:00,2,84,8,92
HT0928,TFN,LPA,2025-01-08,19:55,2,29,38,67
HT9943,SSH,MXP,2025-01-08,20:20,2,400,50,450
HT0922,LPA,TFN,2025-01-08,20:35,2,27,26,53
HT9072,PMI,RIX,2025-01-09,03:15,3,193,37,230
HT0928,TFN,LPA,2025-01-09,05:20,3,44,4,48
HT0922,LPA,TFN,2025-01-09,06:00,3,57,12,69
HT7636,OPO,FNC,2025-01-09,06:00,3,108,3,111
HT1234,LHR,DUB,2025-01-09,07:10,3,160,17,177
HT8601,DUB,LHR,2025-01-09,09:30,3,167,5,172
HT6578,PRG,MXP,2025-01-09,10:35,3,144,22,166
HT0928,TFN,LPA,2025-01-09,12:00,3,34,35,69
HT3245,MXP,PRG,2025-01-09,12:00,3,283,8,291
HT1234,LHR,DUB,2025-01-09,12:10,3,96,78,174
HT0922,LPA,TFN,2025-01-09,12:40,3,35,27,62
HT8069,MDA,CDG,2025-01-09,14:00,3,132,20,152
HT8601,DUB,LHR,2025-01-09,14:30,3,63,115,178
HT4125,CDG,MAD,2025-01-09,16:05,3,289,9,298
HT1234,LHR,DUB,2025-01-09,17:10,3,156,17,173
HT6578,PRG,MXP,2025-01-09,17:45,3,210,2,212
HT8069,MDA,CDG,2025-01-09,18:10,3,161,75,236
HT1839,RIX,PMI,2025-01-09,18:45,3,228,2,230
HT4447,FNC,OPO,2025-01-09,19:00,3,72,15,87
HT8601,DUB,LHR,2025-01-09,19:30,3,87,86,173
HT0928,TFN,LPA,2025-01-09,19:55,3,32,38,70
HT3245,MXP,PRG,2025-01-09,19:55,3,206,18,224
HT4125,CDG,MAD,2025-01-09,20:15,3,240,47,287
HT0922,LPA,TFN,2025-01-09,20:35,3,29,24,53
HT4505,BUD,KEF,2025-01-10,04:00,4,161,14,175
HT4858,LPL,LCA,2025-01-10,04:30,4,231,18,249
HT0928,TFN,LPA,2025-01-10,05:20,4,44,16,60
HT0922,LPA,TFN,2025-01-10,06:00,4,31,30,61
HT1650,FCO,CAG,2025-01-10,06:15,4,94,20,114
HT1234,LHR,DUB,2025-01-10,07:10,4,175,3,178
HT7614,CAG,FCO,2025-01-10,07:30,4,60,31,91
HT2087,MLA,FCO,2025-01-10,08:20,4,102,14,116
HT8601,DUB,LHR,2025-01-10,09:30,4,158,17,175
HT1517,FCO,MLA,2025-01-10,11:00,4,56,19,75
HT0928,TFN,LPA,2025-01-10,12:00,4,30,30,60
HT1234,LHR,DUB,2025-01-10,12:10,4,65,57,122
HT1650,FCO,CAG,2025-01-10,12:30,4,71,54,125
HT3677,TFN,BCN,2025-01-10,12:30,4,111,11,122
HT0922,LPA,TFN,2025-01-10,12:40,4,36,35,71
HT7614,CAG,FCO,2025-01-10,13:45,4,52,83,135
HT8069,MDA,CDG,2025-01-10,14:00,4,124,22,146
HT8601,DUB,LHR,2025-01-10,14:30,4,65,54,119
HT5089,LCA,LPL,2025-01-10,15:05,4,334,57,391
HT2087,MLA,FCO,2025-01-10,15:35,4,60,36,96
HT4125,CDG,MAD,2025-01-10,16:05,4,148,21,169
HT1650,FCO,CAG,2025-01-10,16:45,4,121,9,130
HT1234,LHR,DUB,2025-01-10,17:10,4,107,16,123
HT5996,KEF,BUD,2025-01-10,17:50,4,151,24,175
HT1517,FCO,MLA,2025-01-10,17:55,4,132,3,135
HT7614,CAG,FCO,2025-01-10,18:00,4,111,5,116
HT8069,MDA,CDG,2025-01-10,18:10,4,287,2,289
HT1028,LHR,TLS,2025-01-10,18:10,4,200,8,208
HT3704,TLS,LHR,2025-01-10,19:25,4,101,27,128
HT8601,DUB,LHR,2025-01-10,19:30,4,178,0,178
HT0928,TFN,LPA,2025-01-10,19:55,4,36,25,61
HT4125,CDG,MAD,2025-01-10,20:15,4,154,44,198
HT0922,LPA,TFN,2025-01-10,20:35,4,35,31,66
HT1028,LHR,TLS,2025-01-10,21:25,4,171,27,198
HT1385,BCN,TFN,2025-01-10,23:15,4,113,1,114
HT3704,TLS,LHR,2025-01-10,23:30,4,171,26,197
HT0928,TFN,LPA,2025-01-11,05:20,5,64,1,65
HT0922,LPA,TFN,2025-01-11,06:00,5,28,33,61
HT1650,FCO,CAG,2025-01-11,06:15,5,100,8,108
HT1234,LHR,DUB,2025-01-11,07:10,5,105,17,122
HT7614,CAG,FCO,2025-01-11,07:30,5,92,11,103
HT7132,MXP,SSH,2025-01-11,07:30,5,378,72,450
HT2087,MLA,FCO,2025-01-11,08:20,5,60,12,72
HT8601,DUB,LHR,2025-01-11,09:30,5,168,8,176
HT1517,FCO,MLA,2025-01-11,11:00,5,86,5,91
HT0928,TFN,LPA,2025-01-11,12:00,5,34,27,61
HT1234,LHR,DUB,2025-01-11,12:10,5,62,90,152
HT1650,FCO,CAG,2025-01-11,12:30,5,73,51,124
HT3677,TFN,BCN,2025-01-11,12:30,5,83,11,94
HT0922,LPA,TFN,2025-01-11,12:40,5,32,37,69
HT4540,DUS,RHO,2025-01-11,12:55,5,177,9,186
HT7614,CAG,FCO,2025-01-11,13:45,5,73,44,117
HT8601,DUB,LHR,2025-01-11,14:30,5,76,66,142
HT2087,MLA,FCO,2025-01-11,15:35,5,62,43,105
HT1650,FCO,CAG,2025-01-11,16:45,5,125,8,133
HT1234,LHR,DUB,2025-01-11,17:10,5,93,19,112
HT1517,FCO,MLA,2025-01-11,17:55,5,119,9,128
HT7614,CAG,FCO,2025-01-11,18:00,5,56,2,58
HT1028,LHR,TLS,2025-01-11,18:10,5,130,78,208
HT3704,TLS,LHR,2025-01-11,19:25,5,166,12,178
HT8601,DUB,LHR,2025-01-11,19:30,5,108,29,137
HT0928,TFN,LPA,2025-01-11,19:55,5,30,21,51
HT9943,SSH,MXP,2025-01-11,20:20,5,397,53,450
HT0922,LPA,TFN,2025-01-11,20:35,5,27,24,51
HT1255,RHO,DUS,2025-01-11,20:40,5,125,10,135
HT1028,LHR,TLS,2025-01-11,21:25,5,146,24,170
HT1385,BCN,TFN,2025-01-11,23:15,5,97,18,115
HT3704,TLS,LHR,2025-01-11,23:30,5,138,10,148
HT0928,TFN,LPA,2025-01-12,05:20,6,52,9,61
HT0922,LPA,TFN,2025-01-12,06:00,6,70,1,71
HT0928,TFN,LPA,2025-01-12,12:00,6,28,28,56
HT3677,TFN,BCN,2025-01-12,12:30,6,119,2,121
HT0922,LPA,TFN,2025-01-12,12:40,6,32,35,67
HT4540,DUS,RHO,2025-01-12,12:55,6,97,19,116
HT8069,MDA,CDG,2025-01-12,14:00,6,158,20,178
HT4125,CDG,MAD,2025-01-12,16:05,6,210,38,248
HT8069,MDA,CDG,2025-01-12,18:10,6,123,138,261
HT0928,TFN,LPA,2025-01-12,19:55,6,27,25,52
HT4125,CDG,MAD,2025-01-12,20:15,6,183,96,279
HT0922,LPA,TFN,2025-01-12,20:35,6,26,37,63
HT1255,RHO,DUS,2025-01-12,20:40,6,182,19,201
HT1385,BCN,TFN,2025-01-12,23:15,6,126,13,139
HT0928,TFN,LPA,2025-01-13,05:20,0,61,3,64
HT0922,LPA,TFN,2025-01-13,06:00,0,69,1,70
HT7636,OPO,FNC,2025-01-13,06:00,0,73,14,87
HT1650,FCO,CAG,2025-01-13,06:15,0,74,59,133
HT1234,LHR,DUB,2025-01-13,07:10,0,170,3,173
HT7614,CAG,FCO,2025-01-13,07:30,0,115,3,118
HT2087,MLA,FCO,2025-01-13,08:20,0,90,11,101
HT8601,DUB,LHR,2025-01-13,09:30,0,168,5,173
HT6578,PRG,MXP,2025-01-13,10:35,0,93,27,120
HT1517,FCO,MLA,2025-01-13,11:00,0,78,12,90
HT0928,TFN,LPA,2025-01-13,12:00,0,38,27,65
HT3245,MXP,PRG,2025-01-13,12:00,0,223,17,240
HT1234,LHR,DUB,2025-01-13,12:10,0,95,64,159
HT1650,FCO,CAG,2025-01-13,12:30,0,54,78,132
HT0922,LPA,TFN,2025-01-13,12:40,0,28,24,52
HT7614,CAG,FCO,2025-01-13,13:45,0,50,56,106
HT8601,DUB,LHR,2025-01-13,14:30,0,72,85,157
HT2087,MLA,FCO,2025-01-13,15:35,0,112,16,128
HT1650,FCO,CAG,2025-01-13,16:45,0,56,76,132
HT1234,LHR,DUB,2025-01-13,17:10,0,152,22,174
HT6578,PRG,MXP,2025-01-13,17:45,0,97,85,182
HT1517,FCO,MLA,2025-01-13,17:55,0,105,5,110
HT7614,CAG,FCO,2025-01-13,18:00,0,70,38,108
HT4447,FNC,OPO,2025-01-13,19:00,0,82,17,99
HT8601,DUB,LHR,2025-01-13,19:30,0,171,6,177
HT0928,TFN,LPA,2025-01-13,19:55,0,38,31,69
HT3245,MXP,PRG,2025-01-13,19:55,0,206,5,211
HT0922,LPA,TFN,2025-01-13,20:35,0,37,31,68
HT0928,TFN,LPA,2025-01-14,05:20,1,61,7,68
HT0922,LPA,TFN,2025-01-14,06:00,1,48,12,60
HT1234,LHR,DUB,2025-01-14,07:10,1,116,58,174
HT8601,DUB,LHR,2025-01-14,09:30,1,163,12,175
HT6578,PRG,MXP,2025-01-14,10:35,1,115,7,122
HT0928,TFN,LPA,2025-01-14,12:00,1,30,40,70
HT3245,MXP,PRG,2025-01-14,12:00,1,224,40,264
HT1234,LHR,DUB,2025-01-14,12:10,1,94,67,161
HT0922,LPA,TFN,2025-01-14,12:40,1,35,22,57
HT8069,MDA,CDG,2025-01-14,14:00,1,197,35,232
HT8601,DUB,LHR,2025-01-14,14:30,1,87,78,165
HT4125,CDG,MAD,2025-01-14,16:05,1,204,9,213
HT1234,LHR,DUB,2025-01-14,17:10,1,132,2,134
HT6578,PRG,MXP,2025-01-14,17:45,1,189,1,190
HT8069,MDA,CDG,2025-01-14,18:10,1,173,83,256
HT8601,DUB,LHR,2025-01-14,19:30,1,75,72,147
HT0928,TFN,LPA,2025-01-14,19:55,1,33,38,71
HT3245,MXP,PRG,2025-01-14,19:55,1,281,4,285
HT4125,CDG,MAD,2025-01-14,20:15,1,182,2,184
HT0922,LPA,TFN,2025-01-14,20:35,1,26,23,49
HT0928,TFN,LPA,2025-01-15,05:20,2,58,4,62
HT0922,LPA,TFN,2025-01-15,06:00,2,53,2,55
HT1650,FCO,CAG,2025-01-15,06:15,2,111,4,115
HT7614,CAG,FCO,2025-01-15,07:30,2,57,14,71
HT7132,MXP,SSH,2025-01-15,07:30,2,411,39,450
HT0928,TFN,LPA,2025-01-15,12:00,2,37,22,59
HT1650,FCO,CAG,2025-01-15,12:30,2,62,70,132
HT0922,LPA,TFN,2025-01-15,12:40,2,28,38,66
HT7614,CAG,FCO,2025-01-15,13:45,2,51,63,114
HT1650,FCO,CAG,2025-01-15,16:45,2,105,0,105
HT7614,CAG,FCO,2025-01-15,18:00,2,56,39,95
HT0928,TFN,LPA,2025-01-15,19:55,2,37,31,68
HT9943,SSH,MXP,2025-01-15,20:20,2,376,74,450
HT0922,LPA,TFN,2025-01-15,20:35,2,36,31,67
HT9072,PMI,RIX,2025-01-16,03:15,3,222,8,230
HT0928,TFN,LPA,2025-01-16,05:20,3,29,31,60
HT0922,LPA,TFN,2025-01-16,06:00,3,57,11,68
HT7636,OPO,FNC,2025-01-16,06:00,3,109,24,133
HT1234,LHR,DUB,2025-01-16,07:10,3,118,19,137
HT8601,DUB,LHR,2025-01-16,09:30,3,175,0,175
HT6578,PRG,MXP,2025-01-16,10:35,3,158,11,169
HT0928,TFN,LPA,2025-01-16,12:00,3,33,30,63
HT3245,MXP,PRG,2025-01-16,12:00,3,139,5,144
HT1234,LHR,DUB,2025-01-16,12:10,3,67,112,179
HT0922,LPA,TFN,2025-01-16,12:40,3,38,25,63
HT8069,MDA,CDG,2025-01-16,14:00,3,288,3,291
HT8601,DUB,LHR,2025-01-16,14:30,3,80,76,156
HT4125,CDG,MAD,2025-01-16,16:05,3,211,4,215
HT1234,LHR,DUB,2025-01-16,17:10,3,152,18,170
HT6578,PRG,MXP,2025-01-16,17:45,3,178,36,214
HT8069,MDA,CDG,2025-01-16,18:10,3,150,7,157
HT1839,RIX,PMI,2025-01-16,18:45,3,227,3,230
HT4447,FNC,OPO,2025-01-16,19:00,3,165,6,171
HT8601,DUB,LHR,2025-01-16,19:30,3,167,5,172
HT0928,TFN,LPA,2025-01-16,19:55,3,28,26,54
HT3245,MXP,PRG,2025-01-16,19:55,3,118,21,139
HT4125,CDG,MAD,2025-01-16,20:15,3,134,152,286
HT0922,LPA,TFN,2025-01-16,20:35,3,31,24,55
HT4505,BUD,KEF,2025-01-17,04:00,4,164,11,175
HT4858,LPL,LCA,2025-01-17,04:30,4,290,25,315
HT0928,TFN,LPA,2025-01-17,05:20,4,47,2,49
HT0922,LPA,TFN,2025-01-17,06:00,4,35,1,36
HT1650,FCO,CAG,2025-01-17,06:15,4,100,1,101
HT1234,LHR,DUB,2025-01-17,07:10,4,168,11,179
HT7614,CAG,FCO,2025-01-17,07:30,4,81,22,103
HT2087,MLA,FCO,2025-01-17,08:20,4,88,6,94
HT8601,DUB,LHR,2025-01-17,09:30,4,109,32,141
HT1517,FCO,MLA,2025-01-17,11:00,4,124,10,134
HT0928,TFN,LPA,2025-01-17,12:00,4,31,30,61
HT1234,LHR,DUB,2025-01-17,12:10,4,63,84,147
HT1650,FCO,CAG,2025-01-17,12:30,4,59,67,126
HT3677,TFN,BCN,2025-01-17,12:30,4,147,14,161
HT0922,LPA,TFN,2025-01-17,12:40,4,26,43,69
HT7614,CAG,FCO,2025-01-17,13:45,4,72,58,130
HT8069,MDA,CDG,2025-01-17,14:00,4,121,5,126
HT8601,DUB,LHR,2025-01-17,14:30,4,71,83,154
HT5089,LCA,LPL,2025-01-17,15:05,4,292,37,329
HT2087,MLA,FCO,2025-01-17,15:35,4,98,0,98
HT4125,CDG,MAD,2025-01-17,16:05,4,158,39,197
HT1650,FCO,CAG,2025-01-17,16:45,4,107,17,124
HT1234,LHR,DUB,2025-01-17,17:10,4,104,39,143
HT5996,KEF,BUD,2025-01-17,17:50,4,157,18,175
HT1517,FCO,MLA,2025-01-17,17:55,4,78,43,121
HT7614,CAG,FCO,2025-01-17,18:00,4,98,22,120
HT8069,MDA,CDG,2025-01-17,18:10,4,227,40,267
HT1028,LHR,TLS,2025-01-17,18:10,4,166,40,206
HT3704,TLS,LHR,2025-01-17,19:25,4,158,20,178
HT8601,DUB,LHR,2025-01-17,19:30,4,111,58,169
HT0928,TFN,LPA,2025-01-17,19:55,4,28,21,49
HT4125,CDG,MAD,2025-01-17,20:15,4,278,1,279
HT0922,LPA,TFN,2025-01-17,20:35,4,32,32,64
HT1028,LHR,TLS,2025-01-17,21:25,4,100,31,131
HT1385,BCN,TFN,2025-01-17,23:15,4,97,24,121
HT3704,TLS,LHR,2025-01-17,23:30,4,127,1,128
HT0928,TFN,LPA,2025-01-18,05:20,5,40,30,70
HT0922,LPA,TFN,2025-01-18,06:00,5,33,25,58
HT1650,FCO,CAG,2025-01-18,06:15,5,84,40,124
HT1234,LHR,DUB,2025-01-18,07:10,5,143,19,162
HT7614,CAG,FCO,2025-01-18,07:30,5,60,23,83
HT7132,MXP,SSH,2025-01-18,07:30,5,367,83,450
HT2087,MLA,FCO,2025-01-18,08:20,5,81,8,89
HT8601,DUB,LHR,2025-01-18,09:30,5,86,35,121
HT1517,FCO,MLA,2025-01-18,11:00,5,58,7,65
HT0928,TFN,LPA,2025-01-18,12:00,5,33,23,56
HT1234,LHR,DUB,2025-01-18,12:10,5,78,91,169
HT1650,FCO,CAG,2025-01-18,12:30,5,61,55,116
HT3677,TFN,BCN,2025-01-18,12:30,5,160,8,168
HT0922,LPA,TFN,2025-01-18,12:40,5,26,25,51
HT4540,DUS,RHO,2025-01-18,12:55,5,103,1,104
HT7614,CAG,FCO,2025-01-18,13:45,5,66,57,123
HT8601,DUB,LHR,2025-01-18,14:30,5,63,83,146
HT2087,MLA,FCO,2025-01-18,15:35,5,54,76,130
HT1650,FCO,CAG,2025-01-18,16:45,5,107,10,117
HT1234,LHR,DUB,2025-01-18,17:10,5,128,5,133
HT1517,FCO,MLA,2025-01-18,17:55,5,111,11,122
HT7614,CAG,FCO,2025-01-18,18:00,5,115,6,121
HT1028,LHR,TLS,2025-01-18,18:10,5,93,3,96
